CAGE,SPECIES,HEIGHT,TIME,ALATE,NYMPH,ADULT
23,SYR,21,120,1,17,0
23,TUB,8,120,0,0,0
23,INC,26,120,1,12,0
24,SYR,11,120,1,19,0
24,TUB,6,120,0,0,0
24,INC,27,120,1,8,0
25,SYR,8,120,2,25,0
25,TUB,10,120,0,0,0
25,INC,28,120,2,29,0
1,SYR,8,168,1,13,0
1,TUB,9,168,0,0,0
1,INC,27,168,2,34,1
2,SYR,17,168,0,0,0
2,TUB,5,168,0,0,0
2,INC,21,168,3,45,7
3,SYR,10,168,1,27,3
3,TUB,8,168,1,14,2
3,INC,17,168,0,0,0
4,SYR,16,168,1,22,1
4,TUB,5,168,1,12,1
4,INC,27,168,1,18,0
5,SYR,21,168,3,23,4
5,TUB,11,168,0,0,0
5,INC,18,168,2,27,7
6,SYR,12,168,2,27,1
6,TUB,5,168,0,0,0
6,INC,25,168,1,30,4
7,SYR,9,168,1,17,4
7,TUB,10,168,0,0,0
7,INC,31,168,0,0,0
8,SYR,12,168,0,4,2
8,TUB,11,168,0,0,0
8,INC,16,168,1,17,0
9,SYR,12,168,3,48,8
9,TUB,14,168,0,0,0
9,INC,16,168,0,0,0
10,SYR,12,168,1,28,10
10,TUB,13,168,0,0,0
10,INC,27,168,1,16,4
11,SYR,9,168,1,16,5
11,TUB,6,168,0,0,0
11,INC,25,168,1,13,5
12,SYR,11,168,1,29,9
12,TUB,11,168,0,0,0
12,INC,23,168,0,0,0
13,SYR,16,168,1,14,1
13,TUB,7,168,0,0,0
13,INC,26,168,3,49,11
14,SYR,7,168,1,26,3
14,TUB,10,168,0,0,0
14,INC,29,168,1,11,0
15,SYR,12,168,2,67,8
15,TUB,10,168,0,0,0
15,INC,35,168,0,10,4
16,SYR,13,168,0,0,0
16,TUB,14,168,2,38,6
16,INC,29,168,1,13,5
17,SYR,13,168,1,14,2
17,TUB,11,168,0,0,0
17,INC,31,168,3,24,7
18,SYR,9,168,0,0,0
18,TUB,9,168,0,0,0
18,INC,15,168,2,27,13
19,SYR,10,168,0,0,0
19,TUB,9,168,0,8,0
19,INC,22,168,0,0,0
20,SYR,12,168,1,18,4
20,TUB,10,168,3,36,5
20,INC,27,168,0,0,0
21,SYR,13,168,0,0,0
21,TUB,9,168,0,0,0
21,INC,24,168,3,41,8
22,SYR,10,168,1,20,4
22,TUB,11,168,0,0,0
22,INC,27,168,1,12,3
23,SYR,21,168,1,22,7
23,TUB,8,168,0,0,0
23,INC,26,168,1,12,4
24,SYR,11,168,2,26,11
24,TUB,6,168,0,0,0
24,INC,27,168,1,12,6
25,SYR,8,168,2,32,4
25,TUB,10,168,0,0,0
25,INC,28,168,2,30,5
