CAGE,SPECIES,HEIGHT,MORPH,TIME,ADULT,NYMPH
22,TUB,NA,APTEROUS,48,0,0
22,INC,NA,APTEROUS,48,0,0
23,SYR,NA,APTEROUS,48,3,13
23,TUB,NA,APTEROUS,48,0,0
23,INC,NA,APTEROUS,48,0,0
24,SYR,NA,APTEROUS,48,2,9
24,TUB,NA,APTEROUS,48,0,0
24,INC,NA,APTEROUS,48,0,0
25,SYR,NA,APTEROUS,48,2,5
25,TUB,NA,APTEROUS,48,0,0
25,INC,NA,APTEROUS,48,0,0
1,SYR,NA,APTEROUS,120,1,22
1,TUB,NA,APTEROUS,120,1,20
1,INC,NA,APTEROUS,120,1,19
2,SYR,NA,APTEROUS,120,0,0
2,TUB,NA,APTEROUS,120,0,0
2,INC,NA,APTEROUS,120,1,12
3,SYR,NA,APTEROUS,120,1,6
3,TUB,NA,APTEROUS,120,0,0
3,INC,NA,APTEROUS,120,0,0
4,SYR,NA,APTEROUS,120,2,21
4,TUB,NA,APTEROUS,120,1,23
4,INC,NA,APTEROUS,120,1,18
5,SYR,NA,APTEROUS,120,1,21
5,TUB,NA,APTEROUS,120,0,0
5,INC,NA,APTEROUS,120,0,0
6,SYR,NA,APTEROUS,120,0,0
6,TUB,NA,APTEROUS,120,1,14
6,INC,NA,APTEROUS,120,0,0
7,SYR,NA,APTEROUS,120,1,6
7,TUB,NA,APTEROUS,120,0,0
7,INC,NA,APTEROUS,120,0,0
8,SYR,NA,APTEROUS,120,1,9
8,TUB,NA,APTEROUS,120,1,18
8,INC,NA,APTEROUS,120,0,0
9,SYR,NA,APTEROUS,120,1,11
9,TUB,NA,APTEROUS,120,0,0
9,INC,NA,APTEROUS,120,2,21
10,SYR,NA,APTEROUS,120,1,13
10,TUB,NA,APTEROUS,120,1,6
10,INC,NA,APTEROUS,120,1,11
11,SYR,NA,APTEROUS,120,1,23
11,TUB,NA,APTEROUS,120,0,0
11,INC,NA,APTEROUS,120,0,0
12,SYR,NA,APTEROUS,120,2,26
12,TUB,NA,APTEROUS,120,0,0
12,INC,NA,APTEROUS,120,0,0
13,SYR,NA,APTEROUS,120,1,12
13,TUB,NA,APTEROUS,120,0,0
13,INC,NA,APTEROUS,120,0,0
14,SYR,NA,APTEROUS,120,2,44
14,TUB,NA,APTEROUS,120,0,0
14,INC,NA,APTEROUS,120,1,22
15,SYR,NA,APTEROUS,120,0,4
15,TUB,NA,APTEROUS,120,0,0
15,INC,NA,APTEROUS,120,2,24
16,SYR,NA,APTEROUS,120,3,22
16,TUB,NA,APTEROUS,120,0,0
16,INC,NA,APTEROUS,120,0,0
17,SYR,NA,APTEROUS,120,1,7
17,TUB,NA,APTEROUS,120,2,20
17,INC,NA,APTEROUS,120,1,10
18,SYR,NA,APTEROUS,120,0,1
18,TUB,NA,APTEROUS,120,2,24
18,INC,NA,APTEROUS,120,1,13
19,SYR,NA,APTEROUS,120,2,15
19,TUB,NA,APTEROUS,120,0,0
19,INC,NA,APTEROUS,120,1,9
20,SYR,NA,APTEROUS,120,3,29
20,TUB,NA,APTEROUS,120,0,0
20,INC,NA,APTEROUS,120,1,12
21,SYR,NA,APTEROUS,120,4,28
21,TUB,NA,APTEROUS,120,0,0
21,INC,NA,APTEROUS,120,0,0
22,SYR,NA,APTEROUS,120,3,40
22,TUB,NA,APTEROUS,120,0,0
22,INC,NA,APTEROUS,120,0,0
23,SYR,NA,APTEROUS,120,1,20
23,TUB,NA,APTEROUS,120,0,0
23,INC,NA,APTEROUS,120,0,0
24,SYR,NA,APTEROUS,120,2,11
24,TUB,NA,APTEROUS,120,0,0
24,INC,NA,APTEROUS,120,0,1
25,SYR,NA,APTEROUS,120,2,19
25,TUB,NA,APTEROUS,120,0,0
25,INC,NA,APTEROUS,120,0,0
1,SYR,NA,APTEROUS,168,7,29
1,TUB,NA,APTEROUS,168,8,26
1,INC,NA,APTEROUS,168,5,21
2,SYR,NA,APTEROUS,168,0,0
2,TUB,NA,APTEROUS,168,0,0
2,INC,NA,APTEROUS,168,1,12
3,SYR,NA,APTEROUS,168,1,6
3,TUB,NA,APTEROUS,168,0,0
3,INC,NA,APTEROUS,168,0,0
4,SYR,NA,APTEROUS,168,3,35
4,TUB,NA,APTEROUS,168,3,21
4,INC,NA,APTEROUS,168,5,30
5,SYR,NA,APTEROUS,168,3,30
5,TUB,NA,APTEROUS,168,0,0
5,INC,NA,APTEROUS,168,0,0
6,SYR,NA,APTEROUS,168,0,0
6,TUB,NA,APTEROUS,168,1,21
6,INC,NA,APTEROUS,168,0,0
7,SYR,NA,APTEROUS,168,2,8
7,TUB,NA,APTEROUS,168,0,0
7,INC,NA,APTEROUS,168,0,0
8,SYR,NA,APTEROUS,168,1,10
8,TUB,NA,APTEROUS,168,2,21
8,INC,NA,APTEROUS,168,0,0
9,SYR,NA,APTEROUS,168,2,17
9,TUB,NA,APTEROUS,168,0,0
9,INC,NA,APTEROUS,168,2,28
10,SYR,NA,APTEROUS,168,1,17
10,TUB,NA,APTEROUS,168,1,10
10,INC,NA,APTEROUS,168,2,16
11,SYR,NA,APTEROUS,168,3,54
11,TUB,NA,APTEROUS,168,0,0
11,INC,NA,APTEROUS,168,0,0
12,SYR,NA,APTEROUS,168,2,31
12,TUB,NA,APTEROUS,168,0,0
12,INC,NA,APTEROUS,168,0,0
13,SYR,NA,APTEROUS,168,2,15
13,TUB,NA,APTEROUS,168,0,0
13,INC,NA,APTEROUS,168,0,0
14,SYR,NA,APTEROUS,168,5,65
14,TUB,NA,APTEROUS,168,0,0
14,INC,NA,APTEROUS,168,3,23
15,SYR,NA,APTEROUS,168,0,3
15,TUB,NA,APTEROUS,168,1,0
15,INC,NA,APTEROUS,168,3,27
16,SYR,NA,APTEROUS,168,2,16
16,TUB,NA,APTEROUS,168,0,0
16,INC,NA,APTEROUS,168,0,0
17,SYR,NA,APTEROUS,168,3,18
17,TUB,NA,APTEROUS,168,4,41
17,INC,NA,APTEROUS,168,5,20
18,SYR,NA,APTEROUS,168,0,1
18,TUB,NA,APTEROUS,168,2,32
18,INC,NA,APTEROUS,168,2,16
19,SYR,NA,APTEROUS,168,3,26
19,TUB,NA,APTEROUS,168,0,0
19,INC,NA,APTEROUS,168,1,10
20,SYR,NA,APTEROUS,168,3,32
20,TUB,NA,APTEROUS,168,0,0
20,INC,NA,APTEROUS,168,2,17
21,SYR,NA,APTEROUS,168,5,56
21,TUB,NA,APTEROUS,168,0,0
21,INC,NA,APTEROUS,168,0,0
22,SYR,NA,APTEROUS,168,3,63
22,TUB,NA,APTEROUS,168,0,0
22,INC,NA,APTEROUS,168,0,0
23,SYR,NA,APTEROUS,168,5,38
23,TUB,NA,APTEROUS,168,0,0
23,INC,NA,APTEROUS,168,0,0
24,SYR,NA,APTEROUS,168,2,24
24,TUB,NA,APTEROUS,168,0,0
24,INC,NA,APTEROUS,168,0,1
25,SYR,NA,APTEROUS,168,2,25
25,TUB,NA,APTEROUS,168,0,0
25,INC,NA,APTEROUS,168,0,0
26,SYR,8,ALATE,6,1,3
26,TUB,9,ALATE,6,0,0
26,INC,27,ALATE,6,2,7
27,SYR,17,ALATE,6,0,0
27,TUB,5,ALATE,6,0,0
27,INC,21,ALATE,6,3,2
28,SYR,10,ALATE,6,3,2
28,TUB,8,ALATE,6,1,0
28,INC,17,ALATE,6,0,0
29,SYR,16,ALATE,6,1,0
29,TUB,5,ALATE,6,0,0
29,INC,27,ALATE,6,1,1
30,SYR,21,ALATE,6,2,1
30,TUB,11,ALATE,6,0,0
30,INC,18,ALATE,6,2,1
31,SYR,12,ALATE,6,1,0
31,TUB,5,ALATE,6,0,0
31,INC,25,ALATE,6,2,0
32,SYR,9,ALATE,6,1,0
32,TUB,10,ALATE,6,0,0
32,INC,31,ALATE,6,0,0
33,SYR,12,ALATE,6,0,0
33,TUB,11,ALATE,6,0,0
33,INC,16,ALATE,6,1,1
34,SYR,12,ALATE,6,2,0
34,TUB,14,ALATE,6,0,0
34,INC,16,ALATE,6,0,0
35,SYR,12,ALATE,6,1,1
35,TUB,13,ALATE,6,0,0
35,INC,27,ALATE,6,0,0
36,SYR,9,ALATE,6,0,0
36,TUB,6,ALATE,6,0,0
36,INC,25,ALATE,6,0,0
37,SYR,11,ALATE,6,3,6
37,TUB,11,ALATE,6,0,0
37,INC,23,ALATE,6,0,0
38,SYR,16,ALATE,6,1,0
38,TUB,7,ALATE,6,0,0
38,INC,26,ALATE,6,3,1
39,SYR,7,ALATE,6,2,1
39,TUB,10,ALATE,6,0,0
39,INC,29,ALATE,6,1,0
40,SYR,12,ALATE,6,4,0
40,TUB,10,ALATE,6,0,0
40,INC,35,ALATE,6,1,2
41,SYR,13,ALATE,6,0,0
41,TUB,14,ALATE,6,1,2
41,INC,29,ALATE,6,1,2
42,SYR,13,ALATE,6,3,3
42,TUB,11,ALATE,6,0,0
42,INC,31,ALATE,6,1,1
43,SYR,9,ALATE,6,0,0
43,TUB,9,ALATE,6,0,0
43,INC,15,ALATE,6,2,1
44,SYR,10,ALATE,6,0,0
44,TUB,9,ALATE,6,1,0
44,INC,22,ALATE,6,0,0
45,SYR,12,ALATE,6,1,1
45,TUB,10,ALATE,6,2,0
45,INC,27,ALATE,6,0,0
46,SYR,13,ALATE,6,0,0
46,TUB,9,ALATE,6,0,0
46,INC,24,ALATE,6,4,0
47,SYR,10,ALATE,6,1,3
47,TUB,11,ALATE,6,0,0
47,INC,27,ALATE,6,1,0
48,SYR,21,ALATE,6,1,0
48,TUB,8,ALATE,6,0,0
48,INC,26,ALATE,6,1,0
49,SYR,11,ALATE,6,2,6
49,TUB,6,ALATE,6,0,0
49,INC,27,ALATE,6,1,0
50,SYR,8,ALATE,6,2,3
50,TUB,10,ALATE,6,0,0
50,INC,28,ALATE,6,2,3
26,SYR,NA,ALATE,30,1,3
26,TUB,NA,ALATE,30,0,0
26,INC,NA,ALATE,30,2,7
27,SYR,NA,ALATE,30,0,0
27,TUB,NA,ALATE,30,0,0
27,INC,NA,ALATE,30,3,11
28,SYR,NA,ALATE,30,2,6
28,TUB,NA,ALATE,30,1,4
28,INC,NA,ALATE,30,0,0
29,SYR,NA,ALATE,30,1,4
29,TUB,NA,ALATE,30,1,2
29,INC,NA,ALATE,30,1,6
30,SYR,NA,ALATE,30,2,2
30,TUB,NA,ALATE,30,0,0
30,INC,NA,ALATE,30,2,3
31,SYR,NA,ALATE,30,2,3
31,TUB,NA,ALATE,30,0,0
31,INC,NA,ALATE,30,2,3
32,SYR,NA,ALATE,30,1,3
32,TUB,NA,ALATE,30,0,0
32,INC,NA,ALATE,30,0,0
33,SYR,NA,ALATE,30,1,5
33,TUB,NA,ALATE,30,0,0
33,INC,NA,ALATE,30,1,2
34,SYR,NA,ALATE,30,3,10
34,TUB,NA,ALATE,30,0,0
34,INC,NA,ALATE,30,0,0
35,SYR,NA,ALATE,30,3,13
35,TUB,NA,ALATE,30,0,0
35,INC,NA,ALATE,30,1,3
36,SYR,NA,ALATE,30,1,3
36,TUB,NA,ALATE,30,0,0
36,INC,NA,ALATE,30,1,4
37,SYR,NA,ALATE,30,3,17
37,TUB,NA,ALATE,30,0,0
37,INC,NA,ALATE,30,0,0
38,SYR,NA,ALATE,30,1,1
38,TUB,NA,ALATE,30,0,0
38,INC,NA,ALATE,30,3,7
39,SYR,NA,ALATE,30,2,9
39,TUB,NA,ALATE,30,0,0
39,INC,NA,ALATE,30,1,0
40,SYR,NA,ALATE,30,4,19
40,TUB,NA,ALATE,30,0,0
40,INC,NA,ALATE,30,0,3
41,SYR,NA,ALATE,30,0,0
41,TUB,NA,ALATE,30,2,2
41,INC,NA,ALATE,30,1,4
42,SYR,NA,ALATE,30,3,7
42,TUB,NA,ALATE,30,0,0
42,INC,NA,ALATE,30,1,4
43,SYR,NA,ALATE,30,0,0
43,TUB,NA,ALATE,30,0,0
43,INC,NA,ALATE,30,3,10
44,SYR,NA,ALATE,30,0,0
44,TUB,NA,ALATE,30,1,2
44,INC,NA,ALATE,30,0,0
45,SYR,NA,ALATE,30,1,4
45,TUB,NA,ALATE,30,3,7
45,INC,NA,ALATE,30,0,0
46,SYR,NA,ALATE,30,0,0
46,TUB,NA,ALATE,30,0,0
46,INC,NA,ALATE,30,4,13
47,SYR,NA,ALATE,30,1,7
47,TUB,NA,ALATE,30,0,0
47,INC,NA,ALATE,30,1,3
48,SYR,NA,ALATE,30,1,8
48,TUB,NA,ALATE,30,0,0
48,INC,NA,ALATE,30,1,2
49,SYR,NA,ALATE,30,2,11
49,TUB,NA,ALATE,30,0,0
49,INC,NA,ALATE,30,1,1
50,SYR,NA,ALATE,30,2,9
50,TUB,NA,ALATE,30,0,0
50,INC,NA,ALATE,30,2,11
26,SYR,NA,ALATE,48,1,3
26,TUB,NA,ALATE,48,0,0
26,INC,NA,ALATE,48,2,7
27,SYR,NA,ALATE,48,0,0
27,TUB,NA,ALATE,48,0,0
27,INC,NA,ALATE,48,3,14
28,SYR,NA,ALATE,48,2,8
28,TUB,NA,ALATE,48,1,15
28,INC,NA,ALATE,48,0,0
29,SYR,NA,ALATE,48,1,6
29,TUB,NA,ALATE,48,1,2
29,INC,NA,ALATE,48,1,6
30,SYR,NA,ALATE,48,2,3
30,TUB,NA,ALATE,48,0,0
30,INC,NA,ALATE,48,2,4
31,SYR,NA,ALATE,48,2,3
31,TUB,NA,ALATE,48,0,0
31,INC,NA,ALATE,48,2,12
32,SYR,NA,ALATE,48,1,4
32,TUB,NA,ALATE,48,0,0
32,INC,NA,ALATE,48,0,0
33,SYR,NA,ALATE,48,0,4
33,TUB,NA,ALATE,48,0,0
33,INC,NA,ALATE,48,1,5
34,SYR,NA,ALATE,48,3,16
34,TUB,NA,ALATE,48,0,0
34,INC,NA,ALATE,48,0,0
35,SYR,NA,ALATE,48,3,16
35,TUB,NA,ALATE,48,0,0
35,INC,NA,ALATE,48,1,3
36,SYR,NA,ALATE,48,1,4
36,TUB,NA,ALATE,48,0,0
36,INC,NA,ALATE,48,1,5
37,SYR,NA,ALATE,48,3,21
37,TUB,NA,ALATE,48,0,0
37,INC,NA,ALATE,48,0,0
38,SYR,NA,ALATE,48,1,1
38,TUB,NA,ALATE,48,0,0
38,INC,NA,ALATE,48,3,7
39,SYR,NA,ALATE,48,2,11
39,TUB,NA,ALATE,48,0,0
39,INC,NA,ALATE,48,1,3
40,SYR,NA,ALATE,48,4,28
40,TUB,NA,ALATE,48,0,0
40,INC,NA,ALATE,48,0,3
41,SYR,NA,ALATE,48,0,0
41,TUB,NA,ALATE,48,2,4
41,INC,NA,ALATE,48,1,6
42,SYR,NA,ALATE,48,3,17
42,TUB,NA,ALATE,48,0,0
42,INC,NA,ALATE,48,1,7
43,SYR,NA,ALATE,48,0,0
43,TUB,NA,ALATE,48,0,0
43,INC,NA,ALATE,48,2,13
44,SYR,NA,ALATE,48,0,0
44,TUB,NA,ALATE,48,1,5
44,INC,NA,ALATE,48,0,0
45,SYR,NA,ALATE,48,1,12
45,TUB,NA,ALATE,48,3,21
45,INC,NA,ALATE,48,0,0
46,SYR,NA,ALATE,48,0,0
46,TUB,NA,ALATE,48,0,0
46,INC,NA,ALATE,48,4,20
47,SYR,NA,ALATE,48,1,9
47,TUB,NA,ALATE,48,0,0
47,INC,NA,ALATE,48,1,5
48,SYR,NA,ALATE,48,1,8
48,TUB,NA,ALATE,48,0,0
48,INC,NA,ALATE,48,1,6
49,SYR,NA,ALATE,48,2,16
49,TUB,NA,ALATE,48,0,0
49,INC,NA,ALATE,48,1,7
50,SYR,NA,ALATE,48,2,15
50,TUB,NA,ALATE,48,0,0
50,INC,NA,ALATE,48,2,11
26,SYR,NA,ALATE,120,1,9
26,TUB,NA,ALATE,120,0,0
26,INC,NA,ALATE,120,2,27
27,SYR,NA,ALATE,120,0,0
27,TUB,NA,ALATE,120,0,0
27,INC,NA,ALATE,120,3,31
28,SYR,NA,ALATE,120,1,14
28,TUB,NA,ALATE,120,1,14
28,INC,NA,ALATE,120,0,0
29,SYR,NA,ALATE,120,1,12
29,TUB,NA,ALATE,120,1,12
29,INC,NA,ALATE,120,1,15
30,SYR,NA,ALATE,120,3,14
30,TUB,NA,ALATE,120,0,0
30,INC,NA,ALATE,120,2,13
31,SYR,NA,ALATE,120,2,14
31,TUB,NA,ALATE,120,0,0
31,INC,NA,ALATE,120,2,31
32,SYR,NA,ALATE,120,1,9
32,TUB,NA,ALATE,120,0,0
32,INC,NA,ALATE,120,0,0
33,SYR,NA,ALATE,120,0,4
33,TUB,NA,ALATE,120,0,0
33,INC,NA,ALATE,120,1,13
34,SYR,NA,ALATE,120,2,25
34,TUB,NA,ALATE,120,0,0
34,INC,NA,ALATE,120,0,0
35,SYR,NA,ALATE,120,3,33
35,TUB,NA,ALATE,120,0,0
35,INC,NA,ALATE,120,1,8
36,SYR,NA,ALATE,120,1,11
36,TUB,NA,ALATE,120,0,0
36,INC,NA,ALATE,120,1,12
37,SYR,NA,ALATE,120,3,43
37,TUB,NA,ALATE,120,0,0
37,INC,NA,ALATE,120,0,0
38,SYR,NA,ALATE,120,1,7
38,TUB,NA,ALATE,120,0,0
38,INC,NA,ALATE,120,3,33
39,SYR,NA,ALATE,120,2,24
39,TUB,NA,ALATE,120,0,0
39,INC,NA,ALATE,120,1,11
40,SYR,NA,ALATE,120,3,56
40,TUB,NA,ALATE,120,0,0
40,INC,NA,ALATE,120,0,3
41,SYR,NA,ALATE,120,0,0
41,TUB,NA,ALATE,120,2,21
41,INC,NA,ALATE,120,1,14
42,SYR,NA,ALATE,120,2,39
42,TUB,NA,ALATE,120,0,0
42,INC,NA,ALATE,120,2,11
43,SYR,NA,ALATE,120,0,0
43,TUB,NA,ALATE,120,0,0
43,INC,NA,ALATE,120,2,28
44,SYR,NA,ALATE,120,0,0
44,TUB,NA,ALATE,120,1,9
44,INC,NA,ALATE,120,0,0
45,SYR,NA,ALATE,120,1,12
45,TUB,NA,ALATE,120,3,21
45,INC,NA,ALATE,120,0,0
46,SYR,NA,ALATE,120,0,0
46,TUB,NA,ALATE,120,0,0
46,INC,NA,ALATE,120,4,49
47,SYR,NA,ALATE,120,1,15
47,TUB,NA,ALATE,120,0,0
47,INC,NA,ALATE,120,1,17
48,SYR,NA,ALATE,120,1,17
48,TUB,NA,ALATE,120,0,0
48,INC,NA,ALATE,120,1,12
49,SYR,NA,ALATE,120,1,19
49,TUB,NA,ALATE,120,0,0
49,INC,NA,ALATE,120,1,8
50,SYR,NA,ALATE,120,2,25
50,TUB,NA,ALATE,120,0,0
50,INC,NA,ALATE,120,2,29
26,SYR,NA,ALATE,168,1,13
26,TUB,NA,ALATE,168,0,0
26,INC,NA,ALATE,168,2,35
27,SYR,NA,ALATE,168,0,0
27,TUB,NA,ALATE,168,0,0
27,INC,NA,ALATE,168,3,52
28,SYR,NA,ALATE,168,1,30
28,TUB,NA,ALATE,168,1,16
28,INC,NA,ALATE,168,0,0
29,SYR,NA,ALATE,168,1,23
29,TUB,NA,ALATE,168,1,13
29,INC,NA,ALATE,168,1,18
30,SYR,NA,ALATE,168,3,27
